Loại cảm ứng,Số Camera Selfie,Bluetooth,Thương hiệu,Cảm biến,Bộ nhớ trong,Dung lượng pin,Phụ kiện trong hộp,Màu màn hình,Tần số quét,Chất liệu mặt kính,Chất liệu,Thông báo LED,Bảo mật,Loại PIN,Công nghệ màn hình,Tốc độ tối đa,Thẻ nhớ ngoài,Tỷ lệ tương phản,Làm mát,Trọng lượng sản phẩm,Thời gian bảo hành (tháng),Độ phân giải,Camera Type 3,GPS,Hỗ trợ mạng,64 Bits,Type,Chuẩn màn hình,Sensor,Tên,Số khe SIM,CPU,Danh bạ lưu trữ,Aperture,Tỷ lệ diện tích sử dụng màn hình,OS,Cổng giao tiếp,Độ sáng tối đa,Loại SIM,Mật độ điểm ảnh,Số nhân,Hỗ trợ thẻ nhớ tối đa,Camera Type 1,Quay phim,Xuất xứ,GPU,Loại CPU,Camera Type 4,Version,Độ phủ màu,Kích thước,Resolution,Tính năng,Chuẩn kháng nước / Bụi bẩn,Phiên bản CPU,Tính năng đặc biệt,Hướng dẫn sử dụng,Công nghệ pin,Giá thị trường,RAM,Hướng dẫn bảo quản,Số camera sau,Pixel size,Kích thước màn hình,Camera Type 2,Wifi,Bộ nhớ còn lại,RAM Type,Kết nối khác,Kích thước màn hình phụ,Thời điểm ra mắt,Tỷ lệ khung hình
Điện dung đa điểm,Single selfie camera,v5.3,Apple,Cảm biến khí áp kế,256 GB,29 Giờ,Cáp USB-C to USB-C,,,Phủ Ceramic,Khung máy: Titanium,,Mở khóa bằng mật mã,Lithium-ion,OLED,,,2.000.000:1,,221 g,12,2796 x 1290 Pixels,Telephoto,GPS,5G,,,Super Retina XDR,,iPhone 15 Pro Max 256GB,1,,,,,iOS,Cổng sạc: Type C,2000 nits,"1 eSIM, 1 Nano SIM",,,,Standard,Quay phim FullHD,Trung Quốc,,6 - Core,,iOS 17,,159.9 x 76.7 x 8.25 mm,12.0 MP,Ổn định hình ảnh quang học,IP68,Apple A17 Pro,,,Sạc ngược cho thiết bị khác,34990000.0,8 GB,,Triple rear camera,,6.7 inch,Ultra Wide,Wifi 6,,,NFC,,09/2023,
Điện dung đa điểm,Single selfie camera,v5.2,Samsung,Cảm biến trọng lực,128 GB,3700 mAh,Cáp,16 Triệu,120,Gorilla Glass Victus,Khung máy: Hợp kim nhôm,Không,Mở khóa vân tay dưới màn hình,Lithium-ion,Dynamic AMOLED 2X,2.2 GHz,Không,,Không,167 g,12,1080 x 2340 Pixels,Telephoto,A-GPS,4G,Không,,FHD+,,Samsung Galaxy S22 5G 128GB,2,,Không giới hạn,ƒ/2.2,,Android,Cổng sạc: Type C,1200 nits,"2 Nano SIM hoặc 1 eSIM, 1 Nano SIM",,8,,Standard,Quay phim FullHD,Việt Nam / Trung Quốc,Adreno 730,Octa-Core,,Android 12,,146 x 70.6 x 7.6 mm,10.0 MP,HDR,IP68,Snapdragon 8 Gen 1,,Xem trong sách hướng dẫn sử dụng,Sạc pin nhanh,21990000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,6.1 inch,Ultra Wide,802.11 a/b/g/n/ac/ax,Khoảng 100 GB,,NFC,,07/2022,
Điện dung đa điểm,Single selfie camera,v5.2,Oppo,Cảm biến trọng lực,256 GB,5000 mAh,Sạc,16 Triệu,90,Gorilla Glass 5,Khung máy: Hợp kim,Có,Mở khóa vân tay dưới màn hình,Lithium polymer,AMOLED,2.2 GHz,MicroSD,,Có,182.5 g,12,1080 x 2400 Pixels,Macro lens,A-GPS,4G,Có,,FHD+,,OPPO Reno8 T 4G 256GB,2,,Không giới hạn,ƒ/2.4,,Android,Cổng sạc: Type C,800 nits,2 Nano SIM,,8,2 TB,Wide,Quay phim HD,Trung Quốc,,Octa-Core,,Android 13.0 (ColorOS 13),,160.8 x 73.8 x 7.85 mm,32.0 MP,Nhãn dán (AR Stickers),Không,MediaTek Helio G99,,Xem trong sách hướng dẫn sử dụng,Sạc siêu nhanh SuperVOOC,8490000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Double rear camera,,6.4 inch,Mono,802.11 a/b/g/n/ac,,,OTG,,02/2023,
,Single selfie camera,v5.2,Honor,Cảm biến phi vật lý,256 GB,5000 mAh,Ốp lưng,1.07 tỷ,120 Hz,Kính nhựa,Nhựa,,Mở khóa khuôn mặt,Lithium polymer,AMOLED,2.5 GHz,Không,,,183 g,12,2664 × 1200 Pixels,,A-GPS,3G,,,OLED,,Honor 90,,1 × Cortex-A710 2.5 GHz + 3 × Cortex-A710 2.36 GHz + 4 × Cortex-A510 1.8 GHz,,ƒ/2.4,,Android,,,,,8,,,,Trung Quốc,Adreno 644,,,Android 13.0,,161.9 x 74.1 x 7.80 mm,50.0 MP,Bộ lọc màu,,Snapdragon 7 Gen 1,,,,10990000.0,12 GB,,Triple rear camera,,6.7 inch,,"802.11 a/b/g/n/ac/ax, 2x2 MIMO",,,,,11.2023,19.98:9
Điện dung đa điểm,Single selfie camera,,Samsung,Cảm biến vân tay,128 GB,5000 mAh,Adapter,,120,,,,Mở khóa vân tay,Lithium polymer,PLS LCD,2.4 GHz,MicroSD,,,197 g,12,1080 x 2408 Pixels,Macro lens,GLONASS,5G,,,FHD+,,Samsung Galaxy A23 5G,2,,,ƒ/2.2,83%,Android,Type C,,2 Nano SIM,400 ppi,8,1 TB,Wide,,Việt Nam / Trung Quốc,,,Portrait,Android 12,,164.5 x 76.9 x 8.4 mm,8.0 MP,Chống rung quang học (OIS),,Snapdragon 695 5G,,Xem trong sách hướng dẫn sử dụng,,5990000.0,4 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Quad rear camera,,6.6 inch,Ultra Wide,,,,,,2022,20:9
,Single selfie camera,v5.2,Xiaomi,,128 GB,5000 mAh,Sạc,,90 Hz,,Mặt lưng máy: Nhựa,,Mở khoá vân tay cạnh viền,,IPS LCD,1 GHz,MicroSD,,,192 g,18,720 x 1600 Pixels,,BDS,4G,,,HD+,,Xiaomi Redmi 13C 6GB-128GB,2,,,,,Android,Cổng sạc: Type C,,2 Nano SIM,,8,1 TB,,FullHD 1080p@30fps,Trung Quốc,Mali-G52 MC2,,,Android 12,,168 x 78 x 8.09 mm,8.0 MP,Xoá phông,Không,Helio G85,,,,3490000.0,6 GB,,Double rear camera,,6.74 inch,,802.11 a/b/g/n/ac,Khoảng 115 GB,,,,11/2023,
,Single selfie camera,Có,Samsung,,128 GB,5000 mAh,,,60,,Nhựa Polycarbonate,,,,PLS LCD,,MicroSD,,,195 g,12,720 x 1600 Pixels,,GLONASS,4G,,,HD+,,Samsung Galaxy A05 128GB,2,,,ƒ/2.2,,Android,Type C,1000 nits,2 Nano SIM,,8,1 TB,Wide,,Việt Nam / Trung Quốc,,,,Android 13.0,,168 x 78.2 x 8.8 mm,8.0 MP,,,Helio G85,,Xem trong sách hướng dẫn sử dụng,,3090000.0,4 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Double rear camera,,6.7 inch,Ultra Wide,802.11 a/b/g,,,,,09/2023,
Cảm ứng đa điểm,Single selfie camera,v5.3,Honor,,256 GB,4500 mAh,Ốp lưng,16.7 Triệu,,,Nhựa,,,Lithium polymer,,2 GHz,Không,,,179 g,12,2388 x 1080 Pixels,,A-GPS,3G,,,LTPS LCD,,Honor 90 Lite 5G 8GB 256GB,,2 x Cortex-A76 2.20 GHz + 6 x Cortex-A55 2.00 GHz,,ƒ/2.45,,Android,,,,,8,,,,Trung Quốc,Mali-G57 MC2,,,Android 13.0,,162.9 x 74.5 x 7.48 mm,16.0 MP,Siêu cận (Macro),,MediaTek Dimensity 6020,,,,6490000.0,8 GB,,Triple rear camera,,6.7 inch,,802.11 a/b/g/n/ac,Khoảng 256 GB,,,,11.2023,19:9:9
Điện dung đa điểm,Single selfie camera,v5.3,Oppo,Cảm biến gia tốc,128 GB,5000 mAh,Ốp lưng,1 Tỷ,120,Kính cường lực AGC DT-Star2,Khung máy: Hợp kim,,Mở khóa vân tay dưới màn hình,Lithium polymer,AMOLED,2.6 GHz,MicroSD,,,185 g,12,1080 x 2412 Pixels,Ultra Wide,A-GPS,4G,Có,,FHD+,,OPPO Reno10 5G 128GB,2,,Không giới hạn,ƒ/2.4,93%,Android,Cổng sạc: Type C,,2 Nano SIM,,8,2 TB,Standard,Quay phim Slow Motion,Trung Quốc,Mali-G68 MC4,Octa-Core,,Android 13.0 (ColorOS 13.1),,162.43 x 74.19 x 7.99 mm,32.0 MP,Chế độ chân dung,IPX4,MediaTek Dimensity 7050 5G,Ứng dụng kép (Nhân bản ứng dụng),Xem trong sách hướng dẫn sử dụng,Sạc siêu nhanh SuperVOOC,9990000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,6.7 inch,Telephoto,Wi-Fi Hotspot,,,Slot SIM/thẻ nhớ dùng chung,,07/2023,
,Single selfie camera,v5.2,Samsung,Cảm biến vân tay,128 GB,5000 mAh,,,120,,,,,,Super AMOLED,2.6 GHz,,,,199 g,12,1080 x 2400 Pixels,Macro lens,GPS,4G,,,FHD+,,Samsung Galaxy A34 5G,2,,,ƒ/2.2,,Android,Type C,1000 nits,2 Nano SIM,,8,,Wide,,Việt Nam / Trung Quốc,,,,Android 13.0,,161.3 x 78.1 x 8.2 mm,13.0 MP,Chống rung quang học (OIS),,MediaTek Dimensity 1080,,Xem trong sách hướng dẫn sử dụng,,8490000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,6.6 inch,Ultra Wide,802.11 a/b/g,,,,,3/2023,
,Single selfie camera,v5.0,Xiaomi,,128 GB,5000 mAh,Ốp lưng,,120,Gorilla Glass 3,,,Mở khoá vân tay cạnh viền,,AMOLED,2.8 GHz,MicroSD,,,183.5 g,18,1080 x 2400 Pixels,Macro lens,,4G,,,FHD+,,Xiaomi Redmi Note 12,2,,Không giới hạn,ƒ/2.45,,Android,,1200 nits,2 Nano SIM,,,,Wide,,Trung Quốc,Adreno 610,,,Android 13.0,,165.66 x 75.96 x 7.85 mm,13.0 MP,,IP53,Snapdragon 685,,Xem trong sách hướng dẫn sử dụng,,4990000.0,4 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,0.64 µm,6.67 inch,Ultra Wide,,,LPDDR4X,,,2023,
Điện dung đa điểm,Single selfie camera,v5.3,Apple,Cảm biến tiệm cận,128 GB,4323 mAh,Cáp,,120,Kính cường lực,,Có,Mở khóa bằng mật mã,Lithium-ion,OLED,3.46 GHz,Không,,,240 g,12,2796 x 1290 Pixels,Telephoto,GPS,5G,Có,,Super Retina XDR,,iPhone 14 Pro Max 128GB,1,,Không giới hạn,,,iOS,1 Lightning,2000 nits,"1 eSIM, 1 Nano SIM",,6,,Standard,Quay phim Slow Motion,Trung Quốc,Apple GPU 5 nhân,,,iOS 16,,160.7 x 77.6 x 7.85 mm,12.0 MP,Live Photo,IP68,Apple A16 Bionic,,Xem trong sách hướng dẫn sử dụng,,29990000.0,6 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,6.7 inch,Ultra Wide,Wi-Fi Hotspot,Khoảng 113 GB,,NFC,,09/2022,
Điện dung đa điểm,Single selfie camera,v5.3,Oppo,Cảm biến gia tốc,128 GB,5000 mAh,Ốp lưng,16 Triệu,60 Hz,Kính cường lực Panda,Khung máy: Hợp kim,,Mở khoá vân tay cạnh viền,Lithium polymer,Màn hình chính: IPS LCD,2 GHz,MicroSD,,,192 g,12,Màn hình chính: 1080 x 2400 Pixels,,GPS,4G,,,Màn hình chính: FHD+,,OPPO A58 6GB-128GB,2,,Không giới hạn,ƒ/2.0,,Android,Audio Jack: Jack 3.5 mm,,2 Nano SIM,,8,1 TB,Standard,Quay phim HD,Trung Quốc,Mali-G52 MP2,,,Android 13.0 (ColorOS 13.1),,165.65 x 75.98 x 7.99 mm,8.0 MP,Nhãn dán (AR Stickers),IP54,Helio G85,Loa kép,Xem trong sách hướng dẫn sử dụng,Sạc siêu nhanh SuperVOOC,4990000.0,6 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Double rear camera,,6.7 inch,Depth,802.11 a/b/g/n/ac,Khoảng 106 GB,,Jack 3.5 mm,,07/2023,
Điện dung đa điểm,Single selfie camera,Có,Samsung,,128 GB,5000 mAh,Cáp,,90,,Nhựa Polycarbonate,,Mở khoá vân tay cạnh viền,,PLS LCD,2.4 GHz,MicroSD,,,194 g,12,1080 x 2400 Pixels,Macro lens,GLONASS,4G,,,FHD+,,Samsung Galaxy A05s 128GB,2,,,ƒ/2.0,,Android,Type C,1000 nits,2 Nano SIM,,8,1 TB,Wide,,Việt Nam / Trung Quốc,,,,Android 13.0,,168 x 77.8 x 8.8 mm,13.0 MP,,,Snapdragon 680,,Xem trong sách hướng dẫn sử dụng,,3990000.0,4 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,6.7 inch,Ultra Wide,802.11 a/b/g,,,Jack 3.5 mm,,09/2023,
Điện dung đa điểm,Single selfie camera,v5.2,Samsung,Cảm biến ánh sáng,128 GB,3700 mAh,Cáp,16 Triệu,120,,Mặt lưng máy: Kính cường lực,,Mở khóa bằng mật mã,Lithium-ion,Dynamic AMOLED 2X,,Không,,,183 g,12,1080 x 2636 Pixels,,A-GPS,4G,,,FHD+,,Samsung Galaxy Z Flip4 5G 128GB,2,,Không giới hạn,ƒ/2.4,82%,Android,Cổng sạc: Type C,1200 nits,"1 eSIM, 1 Nano SIM",,8,,Wide,Quay phim FullHD,Việt Nam,,Octa-Core,,Android 12,,165.2 x 71.9 x 6.9 mm,10.0 MP,Nhãn dán (AR Stickers),IPX8,Snapdragon 8+ Gen 1,,Xem trong sách hướng dẫn sử dụng,Sạc ngược cho thiết bị khác,23990000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Double rear camera,,6.7 inch,Ultra Wide,802.11 a/b/g/n,,LPDDR5,Computer sync,19 inch,08/2022,21:9
Điện dung đa điểm,Single selfie camera,v5.3,Oppo,Cảm biến gia tốc,128 GB,5000 mAh,Ốp lưng,16 Triệu,90 Hz,Kính cường lực Panda,Nhựa,,Mở khoá vân tay cạnh viền,Lithium polymer,LCD,2 GHz,MicroSD,,,188 g,12,720 x 1612 Pixels,,GPS,4G,,,HD+,,OPPO A18 4GB 128GB,2,,,ƒ/2.2,,Android,Audio Jack: Jack 3.5 mm,,2 Nano SIM,,8,1 TB,Standard,720p@30fps,Trung Quốc,Mali-G52 MP2,,,Android 13.0 (ColorOS 13.1),,163.74 x 75.03 x 8.16 mm,5.0 MP,,IP54,Helio G85,,Xem trong sách hướng dẫn sử dụng,,3990000.0,4 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Double rear camera,,6.56 inch,Depth,802.11 a/b/g/n/ac,,,OTG,,11/2023,
,Single selfie camera,v5.0,Xiaomi,,32 GB,5000 mAh,Dây sạc Micro USB,,60,,Vỏ thân máy: Nhựa,,Mở khóa bằng mật mã,,IPS LCD,2.20 GHz,MicroSD,,,192 g,18,Màn hình chính: 720 x 1600 Pixels,,GPS,4G,,,HD+,,Xiaomi Redmi A2 2GB-32GB,2,,,ƒ/2.2,,Android,,,2 Nano SIM,,8,1 TB,Standard,720p@30fps,Trung Quốc,PowerVR GE8320,,,Android 13.0,,164.90 x 76.75 x 9.09 mm,5.0 MP,HDR,Không,MediaTek Helio G36,,Xem trong sách hướng dẫn sử dụng,,2190000.0,2 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Single rear camera,,Chính: 6.52 inch,,802.11 a/b/g/n,,LPDDR4X,Jack 3.5 mm,,08/2023,20:9
Điện dung đa điểm,Single selfie camera,v4.2,Realme,Cảm biến gia tốc,64 GB,5000 mAh,Sạc,,60,,Nhựa,,Mở khoá vân tay cạnh viền,Lithium polymer,LCD,,MicroSD,,,186 g,12,720 x 1600 Pixels,,A-GPS,4G,,,HD,,realme C30s 3GB-64GB,2,1.6 GHz Cortex A55,Tùy bộ nhớ,,,Android,Micro-USB,,2 Nano SIM,,8,,Wide,1080p@30fps,Trung Quốc,,Octa-Core,,Android 12,,164.2 x 75.7 x 8.5 m,5.0 MP,HDR,,Unisoc SC9863A1,,Xem trong sách hướng dẫn sử dụng,,2690000.0,3 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Single rear camera,,6.5 inch,,Wi-Fi Hotspot,,,Jack 3.5 mm,,09/2022,20:9
Điện dung đa điểm,Single selfie camera,v5.1,Xiaomi,Cảm biến trọng lực,128 GB,5000 mAh,Cáp Micro-USB,16 Triệu,90 Hz,Gorilla Glass 3,Mặt lưng máy: Nhựa,,Mở khóa bằng mật mã,Lithium polymer,IPS LCD,2 GHz,MicroSD,,,181 g,18,1080 x 2400 Pixels,Depth,GPS,4G,,,FHD+,,Xiaomi Redmi 10 4GB-128GB,2,,Tùy bộ nhớ,ƒ/2.0,,Android,Audio Jack: Jack 3.5 mm,,2 Nano SIM,,8,512 GB,Standard,Quay phim HD,Trung Quốc,Mali-G52 MC2,Octa-Core,Macro lens,Android 11,,161.9 x 75.5 x 8.9 mm,8.0 MP,Nhận diện khuôn mặt,Không,MediaTek Helio G88,,Xem trong sách hướng dẫn sử dụng,Sạc pin nhanh,4290000.0,4 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Quad rear camera,,6.5 inch,Ultra Wide,802.11 a/b/g/n/ac,,,Slot SIM/thẻ nhớ dùng chung,,04/2022,
Điện dung đa điểm,Single selfie camera,v5.2,Samsung,Cảm biến vân tay,128 GB,5000 mAh,Cáp,,60 Hz,,Nhựa,,,,PLS LCD,2 GHz,MicroSD,,,201 g,12,1080 x 2408 Pixels,Depth,GPS,4G,,,FHD+,,Samsung Galaxy A14 4G,2,,Không giới hạn,ƒ/2.2,,Android,Type C,,2 Nano SIM,,8,1 TB,Wide,1080p@30fps,Việt Nam / Trung Quốc,,,,Android 12,,167.7 x 78.8 x 9.1 mm,13.0 MP,Xóa phông,,Exynos 850,,Xem trong sách hướng dẫn sử dụng,,4490000.0,4 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,6.6 inch,Macro lens,802.11 a/b/g/n/ac,Khoảng 105 GB,,Jack 3.5 mm,,3/2023,
Điện dung đa điểm,,v5.1,Honor,,128 GB,5200 mAh,Thẻ bảo hành,16.7 Triệu,90 Hz,,Nhựa,,Mở khóa khuôn mặt,Lithium polymer,TFT LCD,,,,,188 g,12,720 x 1612 Pixels,Depth,A-GPS,3G,,,FHD,,Honor X6A 4GB-128GB,2,4 x Cortex A53 2.0 GHz + 4 x Cortex A53 1.5 GHz,,ƒ/2.2,84%,Android,,,2 Nano SIM,269 ​​ppi,8,,Standard,1080p@30fps,Trung Quốc,PowerVR GE8320,Octa-Core,,Android 13.0,,163.32 x 75.07 x 8.35 mm,5.0 MP,Chế độ chân dung,,MediaTek Helio G36,,Xem trong sách hướng dẫn sử dụng,,3490000.0,4 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,6.56 inch,Macro lens,802.11 a/b/g/n/ac,,,Jack 3.5 mm,,T8.2023,20:9
Điện dung đa điểm,,v5.3,Asus,,512 GB,6000 mAh,Miếng dán màn hình,1 Tỷ,165,Gorilla Glass Victus,Kính Gorilla Glass 3,Không,Mở khóa vân tay,Lithium polymer,AMOLED,3.2 GHz,,,Có,239 g,12,2448 x 1080 Pixels,Macro lens,,5G,,,FHD+,Sony IMX766,Asus ROG Phone 7 16GB-512GB,2,,,ƒ/2.5,,Android,Jack 3.5 mm,1500 nits,2 Nano SIM,,8,,,Quay phim FullHD,Trung Quốc,Adreno 740,,,Android 13.0,,173 x 77 x 10.3 mm,32.0 MP,Toàn cảnh (Panorama),IP54,Snapdragon 8 Gen 2,,Xem trong sách hướng dẫn sử dụng,Sạc pin nhanh,24990000.0,16 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,6.78 inch,,Wifi 6E,,LPDDR5,Bluetooth,,05/2023,
